mid,smiles,prop
114,CCN(CC)c1ccccc1,-3.03
115,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43
116,CC(=O)N,1.58
117,Cc2cnc1cncnc1n2,-0.854
118,CBr,-0.79
119,c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057
120,CCCCCCCCl,-4.0
121,Nc1ccc(Cl)cc1,-1.66
122,CCOC(=O)c1cncn1C(C)c2ccccc2,-4.735
123,Cc1cc(C)c2ccccc2c1,-4.29
124,CCCCCCCCCC(C)O,-2.94
125,Oc1ccncc1,1.02
126,O=c1[nH]cnc2[nH]ncc12 ,-2.266
127,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,-4.286
128,COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O,-3.246
129,Clc1cccc(Br)c1,-3.21
130,ClC(=C)Cl,-1.64
131,Clc1ccc(CN(C2CCCC2)C(=O)Nc3ccccc3)cc1,-5.915
132,CCCCC(=O)C,-0.8
133,COc1cc(CC=C)ccc1O,-1.56
134,Cc1cccc(C)c1C,-3.2
135,Clc1cccc(n1)C(Cl)(Cl)Cl,-3.76
136,CC,-1.36
137,Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl ,-8.56
138,Brc1ccc2ccccc2c1,-4.4
139,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237
140,Clc1cccc(I)c1,-3.55
141,CCOC(=O)N,0.85
142,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.518
143,CCCCCCCCC=C,-5.51
144,CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,-5.382
145,OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl ,-5.46
146,BrC(Cl)Cl,-1.54
147,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,-4.02
148,CC(C)C(=O)C(C)C,-1.3
149,O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,-2.658
150,C1CCCCCCC1,-4.15
151,Cc1ccc2cc(C)ccc2c1,-4.89
152,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877
153,CC(C)C(C)O,-0.18
154,O=C2NC(=O)C1(CCCCCC1)C(=O)N2 ,-3.168
155,NNc1ccccc1,0.07
156,CCCCCCCC(C)O,-2.74
157,Cc1cc2ccccc2cc1C,-4.72
158,CC1=CCC(CC1)C(C)=C,-4.26
159,O=N(=O)c1ccccc1N(=O)=O,-3.1
160,C1c2ccccc2c3cc4ccccc4cc13,-8.04
161,CC(C)(C)Cc1ccccc1,-4.15
162,COC(=O)c1ccc(O)cc1,-1.827
163,CC(C)c1ccc(C)cc1,-3.77
164,c1ccncc1,0.76
165,c1c(NC(=O)c2ccccc2(I))cccc1,-4.21
166,Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.876
167,Nc1ccc(cc1)N(=O)=O,-2.37
168,CC(C)Cl,-1.41
169,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-7.15
170,CC(=O)Nc1ccc(Br)cc1,-3.083
171,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.6
172,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337
173,Clc1ccccc1Br,-3.19
174,c2ccc1[nH]ccc1c2,-1.52
175,CNC(=O)Oc1cccc2CC(C)(C)Oc12,-2.8
176,CCOC(=O)CC(=O)OCC,-0.82
177,C=CC#N,0.15
178,CC(C)=CCCC(O)(C)C=C,-1.99
179,c1ccsc1,-1.33
180,C=CCS(=O)SCC=C,-0.83
181,Fc1cccc(F)c1,-2.0
182,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24
183,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23
184,Cc1ccccc1Cl,-3.52
185,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24
186,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64
187,COc1ncnc2nccnc12 ,-1.11
188,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,-3.586
189,Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57
190,Cc1ccc2ccccc2c1,-3.77
191,CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1
192,Cc1c2ccccc2c(C)c3ccccc13,-6.57
193,c1(O)cc(O)ccc1CCCCCC,-2.59
194,CCNC(=S)NCC,-1.46
195,CC(C)C(C)C,-3.65
196,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523
197,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.1
198,Oc1ccc2ccccc2c1,-2.28
199,Clc1ccc(I)cc1,-4.03
200,c1ccc(cc1)c2ccccc2,-4.345
201,c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,-6.637
202,c3ccc2c(O)c1ccccc1cc2c3 ,-4.73
203,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601
204,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19
205,Cl\C=C/Cl,-1.3
206,ClCCBr,-1.32
207,CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38
208,CC(Cl)CCl,-1.6
209,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,-0.364
210,Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,-6.25
211,CCc1ccc2ccccc2c1,-4.29
212,CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C,-4.57
213,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,-5.233
214,CC(C)=CC3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C ,-5.24
215,NC(=S)Nc1ccccc1,-1.77
216,O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148
217,CC1=C(CCCO1)C(=O)Nc2ccccc2 ,-2.56
218,CCOP(=S)(OCC)SCSCC,-4.11
219,CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23 ,-4.114
220,ClCCCCl,-1.62
221,Clc1ccccc1I,-3.54
222,Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82
223,c2ccc1NCCc1c2 ,-1.04
224,O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.071
225,CCCCCCC(=O)OCC,-2.74
226,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876
227,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.31
228,CCCCS,-2.18
229,CCOC(=O)c1ccc(N)cc1,-2.616
230,CC1(C)C2CCC1(C)C(=O)C2,-1.96
231,ON=Cc1ccc(o1)N(=O)=O ,-2.19
232,CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.27
233,CC(C)COC=O,-1.01
234,c1(Br)c(Br)cc(Br)cc1,-4.5
235,CCCCC(=O)OC,-1.34
236,O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614
237,OCC(O)C(O)CO,0.7
238,CCOc1ccccc1,-2.33
239,c2ccc1ocnc1c2,-1.16
240,CCCC(C)(COC(N)=O)COC(N)=O ,-1.807
241,O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
242,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47
243,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16
244,CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.8
245,Clc1ccc(cc1)c2ccccc2Cl ,-5.28
246,CCCCCC1CCCC1,-6.08
247,C1CCCC1,-2.64
248,N#Cc1ccccc1C#N,-2.38
249,CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.81
250,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35
251,COc2cnc1ncncc1n2,-1.139
252,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.86
253,Cc1cccc(c1)N(=O)=O,-2.44
254,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785
255,CCCCCCO,-1.24
256,CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ,-4.31
257,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094
258,CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,-3.29
259,CCCCCCCCCCCCCCCCCCO,-8.4
260,Sc1ccccc1,-2.12
261,C1C=CCC=C1,-2.06
262,CCCCCCCC,-5.24
263,CC(C)Br,-1.59
264,CN(C)C(=O)C,1.11
265,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,-2.17
266,Cc1ccc(C)cc1,-2.77
267,Cc1ccc(C)c2ccccc12,-4.14
268,CCCCCCCCO,-2.39
269,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282
270,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523
271,CCCCl,-1.47
272,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11
273,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.322
274,COc1ccccc1OCC(O)COC(N)=O,-0.985
275,O=C1NCCN1c2ncc(s2)N(=O)=O,-3.22
276,CCCCC=O,-0.85
277,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.291
278,Cc1cc(C)c(O)c(C)c1,-2.05
279,CCc1cccc2ccccc12,-4.17
280,Cc1cc(=O)n(c2ccccc2)n1C,0.715
281,NC(=O)NC1NC(=O)NC1=O ,-1.6
282,CCOC(=O)c1ccccc1C(=O)OCC,-2.35
283,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.68
284,CCCC(=O)CCC,-1.3
285,CCCCC(C)CC,-5.16
286,CCCCOC=O,-1.37
287,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817
288,c1ccc2c(c1)cnc3ccccc23 ,-2.78
289,CC/C=C\C,-2.54
290,Oc1cccc2ccccc12,-2.22
291,Oc1cccc2ncccc12 ,-2.54
292,Cc1ccc2cc3ccccc3cc2c1,-6.96
293,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,-3.36
294,CCBr,-1.09
295,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-3.09
296,BrC(Br)Br,-1.91
297,O=C1NC(=O)C(=O)C(=O)N1 ,-1.25
298,Cc1occc1C(=O)Nc2ccccc2,-3.3
299,Cc1ccc(Br)cc1,-3.19
300,CC=CC=O,0.32
301,Cc1c(C)c2c3ccccc3ccc2c4ccccc14,-7.01
302,CC(=C)C=C,-2.03
303,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O ,-2.647
304,O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982
305,CC(C)(C)c1ccccc1,-3.66
306,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356
307,CCCCCc1ccccc1,-4.64
308,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C ,-4.16
309,Nc2cccc3nc1ccccc1cc23 ,-4.22
310,CCCCOC,-0.99
311,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77
312,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
313,ClCC,-1.06
314,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-4.92
315,CI,-1.0
316,Cc1ccc2c(ccc3ccccc32)c1,-5.84
317,Cc1ccc(N)cc1,-1.21
318,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
319,CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,-4.749
320,CC(C)CBr,-2.43
321,c1ccc2cc3ccccc3cc2c1,-6.35
322,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259
323,CCCCCl,-2.03
324,CC(=O)Nc1ccc(O)cc1,-1.03
325,OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,-4.38
326,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85
327,c1c(Cl)cccc1c2ccccc2,-4.88
328,CCNc1nc(NC(C)C)nc(SC)n1,-3.04
329,CCC#N,0.28
330,O=N(=O)OCC(CON(=O)=O)ON(=O)=O ,-2.22
331,BrC(Br)(Br)Br,-3.14
332,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.839
333,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28
334,CCc1ccccc1CC,-3.28
335,O=N(=O)c1cccc2ccccc12,-3.54
336,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,-8.71
337,Cc1ccccc1O,-0.62
338,Oc1ccc(cc1)N(=O)=O,-0.74
339,Clc1ccc(cc1Cl)c2ccccc2 ,-6.39
340,CCCc1ccccc1,-3.37
341,Cc1c[nH]c2ccccc12 ,-2.42
342,CCNc1nc(NC(C)(C)C)nc(OC)n1,-3.239
343,CC12CCC(CC1)C(C)(C)O2,-1.74
344,c1cC2C(=O)NC(=O)C2cc1,-2.932
345,O=C1CCCCC1,-0.6
346,C=Cc1ccccc1,-2.82
347,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907
348,Nc2nc1[nH]cnc1c(=O)[nH]2 ,-3.583
349,c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 ,-5.4
350,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-3.685
351,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18
352,Cc1ccccc1N(=O)=O,-2.33
353,COc1ccccc1O ,-1.96
354,C2c1ccccc1N(CCF)C(=O)c3ccccc23 ,-4.799
355,CC(C)=CCCC(C)=CC(=O),-2.06
356,COCOC,0.48
357,CCN(=O)=O,-0.22
358,CCOCCOCC,-0.77
359,CC1CCCCC1NC(=O)Nc2ccccc2,-4.11
360,Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,-6.47
361,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.593
362,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,-8.49
363,Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O,-0.17
364,OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,-4.445
365,CCCCc1c(C)nc(nc1O)N(C)C ,-2.24
366,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
367,Oc1cc(Cl)c(Cl)cc1Cl,-2.21
368,CNC(=O)Oc1ccccc1C(C)C,-2.863
369,CCCCCCCCC(=O)OC,-3.38
370,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15
371,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,-2.523
372,Brc1ccc(Br)cc1,-4.07
373,O2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.672
374,c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59
375,Cc1cccc2c(C)cccc12,-4.679
376,OCC(O)CO,1.12
377,CCCCC(=O)OCC,-2.25
378,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144
379,Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56
380,Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.92
381,ClCC#N,-0.092
382,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46
383,CCCCCC(O)CC,-1.98
384,CCCCCC(=O)C,-1.45
385,Sc2nc1ccccc1s2 ,-3.18
386,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 ,-3.57
387,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01
388,CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,-2.86
389,CCSCc1ccccc1OC(=O)NC ,-2.09
390,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71
391,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301
392,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,-5.67
393,CCCCCCCC=C,-5.05
394,CCCCCCCCCCO,-3.63
395,Clc1cc(Cl)cc(Cl)c1,-4.48
396,c1cncnc1,1.1
397,CCCCCCC(=O)C,-2.05
398,CCCCC#C,-2.36
399,Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,-2.484
400,CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,-5.41
401,CNC(=O)Oc1cc(C)cc(C)c1,-2.581
402,CC1CCCO1,0.11
403,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63
404,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017
405,Cc1ccc(Cl)cc1,-3.08
406,OC1CCCCC1,-0.44
407,CC(=C)C,-2.33
408,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.708
409,C/C1CCC(\C)CC1,-4.47
410,OCC(O)C(O)C(O)C(O)CO ,0.06
411,CNC(=O)C(C)SCCSP(=O)(OC)(OC),1.144
412,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77
413,CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14
414,ClC=C(Cl)Cl,-1.96
415,CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2 ,-4.632
416,c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127
417,c1ccc2ccccc2c1,-3.6
418,CCC(C)CCO,-0.71
419,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O ,-4.955
420,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-3.15
421,c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53
422,CCC1CCCCC1,-4.25
423,O=N(=O)c1ccccc1,-1.8
424,Cc1ncc(N(=O)=O)n1CCO ,-1.26
425,CCCC(C)C,-3.74
426,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
427,c2ccc1scnc1c2 ,-1.5
428,OC1CCCCCC1,-0.88
429,C1CCC=CC1,-2.59
430,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl ,-2.68
431,O=C1CNC(=O)N1 ,-0.4
432,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281
433,CCN2c1ncccc1N(C)C(=S)c3cccnc23 ,-4.634
434,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596
435,Oc1ccccc1N(=O)=O,-1.74
436,CCCCCCCCCCCCCCCO,-6.35
437,CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06
438,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.594
439,CCCC(O)CCC,-1.4
440,CCO,1.1
441,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09
442,Nc1ccccc1Cl,-1.52
443,OC1CCCCCCC1,-1.29
444,CCCOC,-0.39
445,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
446,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
447,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,-1.84
448,CC(C)CC(=O)C,-0.74
449,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
450,CC/C=C/C,-2.54
451,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931
452,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C ,-4.37
453,CNC(=O)ON=C(CSC)C(C)(C)C ,-1.62
454,CCCCCC(=O)OCC,-2.35
455,Cn1ccc(=O)[nH]c1=O,-0.807
456,CCC(=O)OC,-0.14
457,CCC=O,0.58
458,c1(O)c(C)ccc(C(C)C)c1,-2.08
459,Nc1nccs1 ,-0.36
460,Nc1ncnc2nc[nH]c12 ,-2.12
